split,scene_id,scale,stat_h0,stat_h1,h0_inflation
test,68,0.5,7.5778544531787055,5.459072279684536,1.515570890635741
test,68,0.75,7.5784478560108415,5.4485603312368465,1.5156895712021683
test,68,1.0,7.578872402514243,5.441859248667203,1.5157744805028486
test,68,1.5,7.5793488367936845,5.43389627119199,1.515869767358737
test,68,2.0,7.579563920301102,5.429462954394336,1.5159127840602205
test,69,0.5,5.482038681108001,7.622276160922308,1.0964077362216003
test,69,0.75,5.660581010598506,7.633139848777165,1.132116202119701
test,69,1.0,5.747720119098293,7.656306143104761,1.1495440238196586
test,69,1.5,5.833806348224384,7.6978485480666565,1.1667612696448768
test,69,2.0,5.877295467346084,7.728486587822937,1.1754590934692168
test,70,0.5,11.224694144071018,9.880397925726548,2.2449388288142034
test,70,0.75,11.23420785646597,9.65135883011655,2.246841571293194
test,70,1.0,11.250242389122814,9.496613689674282,2.2500484778245626
test,70,1.5,11.281202577381526,9.289415589889906,2.256240515476305
test,70,2.0,11.306831931069524,9.149675478128321,2.261366386213905
test,71,0.5,5.243755785019392,8.218980593719118,1.0487511570038783
test,71,0.75,5.269778633110697,8.138902078817258,1.0539557266221393
test,71,1.0,5.286144259070081,8.088028599560733,1.0572288518140163
test,71,1.5,5.306780918392554,8.025988939760243,1.0613561836785108
test,71,2.0,5.320224778666594,7.988901578605628,1.0640449557333187
test,72,0.5,6.849975240489806,7.597210375305447,1.3699950480979612
test,72,0.75,6.85528425193745,7.511272936742863,1.37105685038749
test,72,1.0,6.857815635786248,7.480614178884924,1.3715631271572497
test,72,1.5,6.86230274265699,7.475374911631629,1.3724605485313979
test,72,2.0,6.866843185712778,7.4963979677293695,1.3733686371425555
test,73,0.5,9.398259824025354,8.719050904966881,1.879651964805071
test,73,0.75,9.287978588655703,8.67715427984299,1.8575957177311406
test,73,1.0,9.218768069294308,8.644149153193453,1.8437536138588615
test,73,1.5,9.134703195985926,8.597672520803512,1.8269406391971852
test,73,2.0,9.084653998198736,8.568210017777433,1.816930799639747
test,74,0.5,6.771217890664012,18.12831787375636,1.3542435781328024
test,74,0.75,6.704207668279579,17.997392643005455,1.3408415336559156
test,74,1.0,6.670897628971744,17.919520155967735,1.3341795257943487
test,74,1.5,6.641604194277732,17.8256738747221,1.3283208388555463
test,74,2.0,6.630976118132835,17.76768412382975,1.3261952236265668
test,75,0.5,8.813590236635266,6.062605618272813,1.7627180473270532
test,75,0.75,8.819902917566024,6.087662746471645,1.7639805835132047
test,75,1.0,8.82803030187657,6.1084072354521535,1.765606060375314
test,75,1.5,8.842456994801053,6.139950266680228,1.7684913989602105
test,75,2.0,8.853210093316948,6.162247826740516,1.7706420186633895
test,76,0.5,4.510176819447084,3.833418701757073,0.9020353638894167
test,76,0.75,4.5388140227635425,3.9087412228595726,0.9077628045527085
test,76,1.0,4.564279543903453,3.961457211687554,0.9128559087806906
test,76,1.5,4.600187061783942,4.0308628621757405,0.9200374123567885
test,76,2.0,4.622515154596989,4.074884048275393,0.9245030309193979
test,77,0.5,5.256718828744065,6.597561470694187,1.051343765748813
test,77,0.75,5.257919763053577,6.601402121371073,1.0515839526107154
test,77,1.0,5.259309206928073,6.603798668566873,1.0518618413856147
test,77,1.5,5.261309409824641,6.606718401766828,1.052261881964928
test,77,2.0,5.2624369585234945,6.608470171948455,1.0524873917046988
test,78,0.5,5.323135729498982,6.324725586619008,1.0646271458997965
test,78,0.75,5.310360936914611,6.417590156340391,1.0620721873829222
test,78,1.0,5.302082885120468,6.475082153710927,1.0604165770240936
test,78,1.5,5.292382274716713,6.543234419015185,1.0584764549433427
test,78,2.0,5.287253414054101,6.581869139645335,1.05745068281082
test,79,0.5,4.005810231140014,6.050074499986135,0.8011620462280028
test,79,0.75,4.047919783273713,6.0522119209379905,0.8095839566547426
test,79,1.0,4.07225528465529,6.053236348462761,0.8144510569310579
test,79,1.5,4.0997924744972725,6.053688297856308,0.8199584948994545
test,79,2.0,4.115311185089362,6.053199559724137,0.8230622370178724
