receiver,illuminator,target,rho,trial,m_rx,axis
3,4,7,0.02065737754320285,0,8,0
3,4,8,0.5186817520656581,0,8,0
3,4,9,0.45392890651159723,0,8,0
3,5,0,0.23962186537002272,0,8,0
3,5,1,0.5737385901869966,0,8,0
3,5,2,0.5286987966118912,0,8,0
3,5,3,0.8810462258937747,0,8,0
3,5,4,0.5988328117853958,0,8,0
3,5,5,0.9491198912868671,0,8,0
3,5,6,0.6602526935817856,0,8,0
3,5,7,0.49833468652872936,0,8,0
3,5,8,0.6761712050762249,0,8,0
3,5,9,0.0,0,8,0
3,6,0,0.9213414228342897,0,8,0
3,6,1,0.39720988770022614,0,8,0
3,6,2,0.9649520028825298,0,8,0
3,6,3,0.888187157785767,0,8,0
3,6,4,0.8734852472731821,0,8,0
3,6,5,0.9854107826117696,0,8,0
3,6,6,0.5722207227599139,0,8,0
3,6,7,0.8642375420536011,0,8,0
3,6,8,0.7878159567042714,0,8,0
3,6,9,0.10655806022261916,0,8,0
3,7,0,0.6332489940147656,0,8,0
3,7,1,0.45230501260101963,0,8,0
3,7,2,0.5879581502568064,0,8,0
3,7,3,0.96108443342503,0,8,0
3,7,4,0.7152894144974408,0,8,0
3,7,5,0.9793296894378419,0,8,0
3,7,6,0.5402495516347143,0,8,0
3,7,7,0.0,0,8,0
3,7,8,0.5197367525624925,0,8,0
3,7,9,0.9069316719873913,0,8,0
3,8,0,0.576369754763566,0,8,0
3,8,1,0.7442242312995816,0,8,0
3,8,2,0.9691249788348621,0,8,0
3,8,3,0.5980261193933627,0,8,0
3,8,4,0.3273761361653218,0,8,0
3,8,5,0.9525385026482271,0,8,0
3,8,6,0.8954628223378382,0,8,0
3,8,7,0.0,0,8,0
3,8,8,0.40096066142131126,0,8,0
3,8,9,0.4086872809473574,0,8,0
3,9,0,0.31592690643351384,0,8,0
3,9,1,0.4225878353701842,0,8,0
3,9,2,0.8323024421205311,0,8,0
3,9,3,0.6794810646539491,0,8,0
3,9,4,1.0,0,8,0
3,9,5,0.7269094741174312,0,8,0
3,9,6,0.8623773695829293,0,8,0
3,9,7,0.7885141531064386,0,8,0
3,9,8,0.6789436423503504,0,8,0
3,9,9,0.8959144506911209,0,8,0
3,10,0,0.8754460900118186,0,8,0
3,10,1,0.8180862052732691,0,8,0
3,10,2,0.0,0,8,0
3,10,3,0.5109785301739693,0,8,0
3,10,4,0.04777097377134054,0,8,0
3,10,5,0.9163140374353584,0,8,0
3,10,6,0.9610345668307925,0,8,0
3,10,7,0.9280674193900458,0,8,0
3,10,8,0.5191507910049429,0,8,0
3,10,9,0.07286752240870531,0,8,0
3,11,0,0.1269546076455753,0,8,0
3,11,1,0.4692112821600464,0,8,0
3,11,2,0.931201746467165,0,8,0
3,11,3,0.7293830063541027,0,8,0
3,11,4,0.3524863827005327,0,8,0
3,11,5,0.5041885318835662,0,8,0
3,11,6,0.022418204773942296,0,8,0
3,11,7,0.10659699909599252,0,8,0
3,11,8,0.24113572230004998,0,8,0
3,11,9,0.9864608136163255,0,8,0
3,12,0,0.2903486169968108,0,8,0
3,12,1,0.41530160508800296,0,8,0
3,12,2,0.6868496699097161,0,8,0
3,12,3,0.6134658621802022,0,8,0
3,12,4,0.14221266330728066,0,8,0
3,12,5,0.9855602729758595,0,8,0
3,12,6,0.02671650986898999,0,8,0
3,12,7,0.3839667243251843,0,8,0
3,12,8,0.041851331295999605,0,8,0
3,12,9,0.6919113118698508,0,8,0
3,13,0,0.4739048202064947,0,8,0
3,13,1,0.6109215194252917,0,8,0
3,13,2,0.0,0,8,0
3,13,3,0.536637021098859,0,8,0
3,13,4,0.29385353295779104,0,8,0
3,13,5,0.0,0,8,0
3,13,6,0.028992112782078472,0,8,0
3,13,7,0.9125883122856502,0,8,0
3,13,8,0.6348520606056843,0,8,0
3,13,9,0.9270729557902344,0,8,0
3,14,0,0.9333053637151643,0,8,0
3,14,1,0.44931789495891294,0,8,0
